"ai_tool","user_type","experience_level","industry","primary_use_case","satisfaction_score","failure_reason"
"Hugging Face","Student","Intermediate","Energy","Research",1.08,"Connection issues"
"Midjourney","Marketer","Advanced","Education","Automation",1.43,"Wrong output"
"LLaMA","Designer","Expert","Legal","Learning",1.99,"Connection issues"
"Devin","Data Analyst","Beginner","Healthcare","Coding",2.48,"Wrong output"
"IBM Watson","Business Owner","Intermediate","Government","Content Writing",1.46,"Connection issues"
"BloombergGPT","Government Worker","Intermediate","Finance","Translation",1.91,"Low accuracy"
"Kensho","Cybersecurity Analyst","Intermediate","Healthcare","Translation",2.18,"Low accuracy"
"ElevenLabs","Business Owner","Advanced","Transportation","Learning",1.33,"Slow response"
"Tableau AI","Designer","Intermediate","Transportation","Automation",2.01,"Slow response"
"Codeium","Freelancer","Beginner","Education","Research",2.06,"Slow response"
"Elicit","Student","Expert","Retail","Design",1.81,"Wrong output"
"GitHub Copilot","Content Creator","Beginner","Agriculture","Coding",1.09,"Low accuracy"
"Tableau AI","Doctor","Expert","Retail","Marketing",1.15,"Tool limitation"
"IBM Watson","Junior Dev","Expert","Finance","Content Writing",1.71,"Tool limitation"
"GitHub Copilot","Non-Tech User","Intermediate","Education","Coding",1.27,"Slow response"
"Microsoft Copilot","Junior Dev","Intermediate","Agriculture","Video Creation",2.37,"Low accuracy"
"Claude","Non-Tech User","Beginner","Manufacturing","Video Creation",1.36,"Slow response"
"LLaMA","Student","Beginner","Healthcare","Data Analysis",1.15,"Wrong output"
"Khanmigo","Startup Founder","Expert","Retail","Marketing",1.17,"Tool limitation"
"Whisper","Government Worker","Advanced","Manufacturing","Research",1.54,"Wrong output"
"Cursor AI","Data Analyst","Advanced","Retail","Coding",1.4,"Tool limitation"
"Boston Dynamics AI","Startup Founder","Intermediate","Media","Design",1.9,"Wrong output"
"Hugging Face","DevOps Engineer","Intermediate","Transportation","Automation",1.23,"Low accuracy"
"Stable Diffusion","Business Owner","Beginner","Tech","Content Writing",1.52,"Connection issues"
"Gemini","Product Manager","Advanced","Manufacturing","Data Analysis",2.07,"Connection issues"
"Qwen","Designer","Beginner","Legal","Translation",2.46,"Connection issues"
"GitHub Copilot","Non-Tech User","Expert","Retail","Content Writing",1.2,"Slow response"
"GPT-4","Researcher","Intermediate","Healthcare","Design",1.9,"Low accuracy"
"Tableau AI","Doctor","Advanced","Government","Design",1.34,"Low accuracy"
"Qwen","Teacher","Expert","Legal","Automation",1.72,"Low accuracy"
"Cohere","Startup Founder","Expert","Energy","Content Writing",2.48,"Connection issues"
"Falcon","Freelancer","Advanced","Agriculture","Content Writing",1.6,"Tool limitation"
"BloombergGPT","Lawyer","Advanced","Energy","Data Analysis",1.12,"Low accuracy"
"Power BI Copilot","Business Owner","Expert","Healthcare","Content Writing",1.53,"Low accuracy"
"Claude","Data Analyst","Advanced","Energy","Content Writing",2.33,"Connection issues"
"Qwen","Business Owner","Beginner","Legal","Learning",2.33,"Slow response"
"LangChain","Junior Dev","Intermediate","Education","Learning",2,"Low accuracy"
"Khanmigo","Business Owner","Advanced","Agriculture","Translation",1.59,"Low accuracy"
"BloombergGPT","Non-Tech User","Expert","Finance","Content Writing",1.82,"Wrong output"
"Cohere","Lawyer","Advanced","Tech","Data Analysis",1.23,"Low accuracy"
"LangChain","Business Owner","Intermediate","Tech","Coding",2.4,"Slow response"
"Cohere","Business Owner","Expert","Agriculture","Research",1.99,"Wrong output"
"GrammarlyGO","Content Creator","Beginner","Retail","Data Analysis",2.03,"Low accuracy"
"TensorFlow","Lawyer","Expert","Agriculture","Content Writing",1.52,"Slow response"
"Cursor AI","Marketer","Beginner","Energy","Research",1.09,"Wrong output"
"Tesla Optimus","Researcher","Beginner","Retail","Automation",2.13,"Wrong output"
"Jasper","Senior Developer","Beginner","Agriculture","Content Writing",2.17,"Wrong output"
"Notion AI","Content Creator","Intermediate","Healthcare","Data Analysis",1.98,"Low accuracy"
"LangChain","Researcher","Beginner","Tech","Research",2.15,"Wrong output"
"Elicit","Government Worker","Beginner","Energy","Data Analysis",2.33,"Wrong output"
"Perplexity AI","Business Owner","Beginner","Tech","Coding",2.36,"Wrong output"
"Cursor AI","Government Worker","Beginner","Transportation","Content Writing",2.27,"Wrong output"
"LangChain","Non-Tech User","Intermediate","Agriculture","Coding",2.2,"Connection issues"
"Tableau AI","Content Creator","Expert","Finance","Content Writing",1.58,"Low accuracy"
"Duolingo Max","DevOps Engineer","Beginner","Healthcare","Video Creation",1.1,"Slow response"
"Cursor AI","Designer","Intermediate","Transportation","Design",2.56,"Low accuracy"
"Khanmigo","Researcher","Advanced","Manufacturing","Content Writing",1.48,"Tool limitation"
"Midjourney","Junior Dev","Beginner","Government","Content Writing",2.05,"Wrong output"
"Gemini","Cybersecurity Analyst","Beginner","Finance","Design",2.13,"Slow response"
"Cohere","ML Engineer","Expert","Agriculture","Video Creation",2.06,"Tool limitation"
"Falcon","Lawyer","Advanced","Transportation","Coding",1.14,"Low accuracy"
"Codeium","Marketer","Advanced","Energy","Video Creation",2.29,"Low accuracy"
"Deepgram","Senior Developer","Expert","Manufacturing","Design",1.06,"Wrong output"
"HeyGen","Government Worker","Advanced","Legal","Learning",1.76,"Tool limitation"
"Duolingo Max","Cybersecurity Analyst","Advanced","Tech","Content Writing",1.32,"Low accuracy"
"Runway ML","Researcher","Advanced","Transportation","Learning",2.54,"Low accuracy"
"Qwen","Designer","Beginner","Healthcare","Customer Support",2.53,"Wrong output"
"Cursor AI","Junior Dev","Expert","Retail","Translation",1.39,"Connection issues"
"Perplexity AI","Designer","Advanced","Legal","Video Creation",1.67,"Slow response"
"Gemini","Cybersecurity Analyst","Beginner","Tech","Coding",1.26,"Low accuracy"
"Claude","ML Engineer","Advanced","Retail","Coding",2.13,"Low accuracy"
"Qwen","Student","Intermediate","Retail","Coding",1.93,"Low accuracy"
"GPT-5","Data Analyst","Intermediate","Retail","Translation",1.31,"Low accuracy"
"Cursor AI","Doctor","Beginner","Retail","Learning",1.94,"Connection issues"
"DataRobot","Designer","Intermediate","Government","Marketing",2.29,"Tool limitation"
"Canva AI","Senior Developer","Intermediate","Finance","Design",2.1,"Connection issues"
"AutoGPT","Teacher","Beginner","Legal","Data Analysis",1.4,"Wrong output"
"DALL-E","Marketer","Expert","Healthcare","Coding",1.1,"Connection issues"
"Stable Diffusion","Startup Founder","Expert","Finance","Translation",1.5,"Wrong output"
"LLaMA","DevOps Engineer","Intermediate","Energy","Automation",1.31,"Wrong output"
"Falcon","Marketer","Expert","Tech","Content Writing",2.31,"Low accuracy"
"Boston Dynamics AI","Lawyer","Expert","Agriculture","Research",1.74,"Low accuracy"
"Qwen","Non-Tech User","Expert","Retail","Research",1.46,"Tool limitation"
"Tesla Optimus","Doctor","Expert","Transportation","Design",1.53,"Slow response"
"Tableau AI","Designer","Advanced","Agriculture","Coding",1.66,"Slow response"
"Notion AI","Cybersecurity Analyst","Intermediate","Education","Design",2.35,"Low accuracy"
"BloombergGPT","Teacher","Intermediate","Tech","Research",1.54,"Wrong output"
"Elicit","Student","Advanced","Government","Content Writing",2.12,"Tool limitation"
"DeepSeek","Lawyer","Intermediate","Government","Customer Support",1.88,"Connection issues"
"Codeium","Designer","Expert","Finance","Translation",2.3,"Tool limitation"
"AutoGPT","Senior Developer","Expert","Manufacturing","Translation",1.56,"Tool limitation"
"Khanmigo","ML Engineer","Beginner","Education","Coding",1.92,"Low accuracy"
"Runway ML","Lawyer","Beginner","Energy","Video Creation",2.18,"Wrong output"
"Whisper","Content Creator","Expert","Tech","Learning",1.79,"Slow response"
"DataRobot","Data Analyst","Expert","Government","Learning",1.33,"Tool limitation"
"Jasper","ML Engineer","Intermediate","Legal","Marketing",1.9,"Connection issues"
"Whisper","Designer","Intermediate","Healthcare","Content Writing",1.12,"Tool limitation"
"TensorFlow","Senior Developer","Intermediate","Finance","Learning",1.22,"Tool limitation"
"Grok","Lawyer","Advanced","Energy","Content Writing",2.21,"Low accuracy"
"DeepSeek","Content Creator","Beginner","Finance","Research",1.28,"Wrong output"
"Cursor AI","Junior Dev","Expert","Government","Design",1.76,"Wrong output"
"Codeium","Student","Advanced","Healthcare","Customer Support",1.46,"Connection issues"
"Claude","Designer","Expert","Legal","Marketing",1.34,"Low accuracy"
"Synthesia","Designer","Intermediate","Finance","Coding",1.28,"Low accuracy"
"Jasper","Content Creator","Beginner","Agriculture","Design",1.89,"Connection issues"
"Boston Dynamics AI","Non-Tech User","Advanced","Agriculture","Research",2.23,"Low accuracy"
"ElevenLabs","Government Worker","Beginner","Manufacturing","Learning",2.45,"Connection issues"
"GPT-4","Marketer","Advanced","Media","Translation",1.75,"Tool limitation"
"Jasper","DevOps Engineer","Advanced","Energy","Marketing",2.07,"Slow response"
"BloombergGPT","Freelancer","Advanced","Retail","Video Creation",2.09,"Connection issues"
"Notion AI","Data Analyst","Advanced","Healthcare","Data Analysis",1.18,"Wrong output"
"Tesla Optimus","Non-Tech User","Beginner","Healthcare","Data Analysis",2.14,"Connection issues"
"Duolingo Max","Business Owner","Beginner","Education","Translation",1.85,"Low accuracy"
"GrammarlyGO","DevOps Engineer","Intermediate","Energy","Automation",2.36,"Slow response"
"LLaMA","Content Creator","Beginner","Manufacturing","Data Analysis",1.88,"Slow response"
"Perplexity AI","Doctor","Advanced","Healthcare","Research",1.43,"Low accuracy"
"DeepSeek","Product Manager","Beginner","Government","Learning",2.02,"Wrong output"
"Gemini","Designer","Beginner","Manufacturing","Content Writing",1.09,"Connection issues"
"Khanmigo","Researcher","Advanced","Retail","Coding",2.18,"Slow response"
"AlphaFold","Business Owner","Advanced","Education","Marketing",1.13,"Tool limitation"
"Qwen","Junior Dev","Expert","Tech","Video Creation",1.51,"Low accuracy"
"LLaMA","Marketer","Intermediate","Manufacturing","Marketing",2.07,"Slow response"
"HeyGen","Lawyer","Advanced","Retail","Learning",1.21,"Connection issues"
"Cursor AI","Teacher","Expert","Government","Customer Support",2.14,"Low accuracy"
"Kensho","Marketer","Intermediate","Media","Data Analysis",1.37,"Low accuracy"
"GPT-4","Designer","Beginner","Healthcare","Research",2.11,"Connection issues"
"Runway ML","Researcher","Beginner","Healthcare","Research",1.05,"Low accuracy"
"Canva AI","Marketer","Expert","Retail","Research",1.97,"Tool limitation"
"Gemini","Government Worker","Expert","Finance","Customer Support",1.98,"Connection issues"
"Tesla Optimus","Government Worker","Intermediate","Government","Content Writing",1.98,"Connection issues"
"Grok","DevOps Engineer","Expert","Finance","Translation",1.52,"Wrong output"
"Jasper","Designer","Beginner","Manufacturing","Translation",1.19,"Low accuracy"
"Midjourney","Startup Founder","Intermediate","Healthcare","Automation",2.27,"Connection issues"
"Khanmigo","Cybersecurity Analyst","Intermediate","Legal","Content Writing",2.41,"Connection issues"
"DeepSeek","Content Creator","Expert","Tech","Marketing",2.35,"Wrong output"
"Khanmigo","Startup Founder","Beginner","Agriculture","Data Analysis",1.29,"Low accuracy"
"GitHub Copilot","Non-Tech User","Intermediate","Manufacturing","Learning",1.42,"Wrong output"
"Qwen","ML Engineer","Intermediate","Finance","Translation",1.01,"Slow response"
"Jasper","Non-Tech User","Advanced","Healthcare","Automation",1.69,"Slow response"
"TensorFlow","Student","Expert","Healthcare","Video Creation",2.55,"Tool limitation"
"Qwen","Student","Advanced","Healthcare","Customer Support",2,"Tool limitation"
"Deepgram","Data Analyst","Advanced","Education","Research",1.44,"Tool limitation"
"IBM Watson","Marketer","Beginner","Healthcare","Design",2.28,"Slow response"
"Figma AI","Student","Advanced","Media","Marketing",2.09,"Low accuracy"
"TensorFlow","Business Owner","Advanced","Media","Design",2.34,"Slow response"
"ElevenLabs","Product Manager","Advanced","Media","Research",1.97,"Slow response"
"TensorFlow","DevOps Engineer","Advanced","Legal","Learning",1.82,"Slow response"
"Cohere","Doctor","Intermediate","Energy","Customer Support",1.43,"Wrong output"
"GPT-4","Product Manager","Beginner","Manufacturing","Translation",2.47,"Tool limitation"
"BloombergGPT","Startup Founder","Beginner","Media","Data Analysis",1.65,"Slow response"
"Deepgram","Doctor","Intermediate","Finance","Translation",1.6,"Connection issues"
"Runway ML","Student","Expert","Legal","Learning",2.07,"Tool limitation"
"Canva AI","Data Analyst","Advanced","Manufacturing","Marketing",1.55,"Wrong output"
"Falcon","Marketer","Advanced","Finance","Content Writing",1.65,"Low accuracy"
"Tesla Optimus","Government Worker","Beginner","Agriculture","Design",2.01,"Tool limitation"
"TensorFlow","Startup Founder","Intermediate","Agriculture","Learning",2.18,"Low accuracy"
"Tableau AI","Non-Tech User","Advanced","Healthcare","Design",2.45,"Low accuracy"
"BloombergGPT","Government Worker","Advanced","Education","Video Creation",2.37,"Slow response"
"Hugging Face","ML Engineer","Expert","Media","Research",1.85,"Connection issues"
"Power BI Copilot","Data Analyst","Beginner","Tech","Learning",1.25,"Connection issues"
"Duolingo Max","Researcher","Intermediate","Legal","Coding",1.46,"Connection issues"
"ElevenLabs","Marketer","Intermediate","Agriculture","Data Analysis",1.02,"Wrong output"
"Mistral","Doctor","Advanced","Transportation","Content Writing",2.24,"Low accuracy"
"TensorFlow","Cybersecurity Analyst","Intermediate","Finance","Content Writing",1.54,"Low accuracy"
"GPT-4","Content Creator","Expert","Agriculture","Automation",2.39,"Connection issues"
"Stable Diffusion","Government Worker","Expert","Retail","Data Analysis",2.13,"Connection issues"
"Jasper","Cybersecurity Analyst","Expert","Manufacturing","Learning",2.08,"Connection issues"
"AutoGPT","Designer","Advanced","Finance","Video Creation",2.44,"Wrong output"
"Khanmigo","Cybersecurity Analyst","Expert","Government","Marketing",2.5,"Wrong output"
"DataRobot","Student","Beginner","Transportation","Marketing",2.56,"Low accuracy"
"AutoGPT","Product Manager","Beginner","Retail","Research",1.7,"Slow response"
"Stable Diffusion","Government Worker","Advanced","Tech","Marketing",2.28,"Wrong output"
"Figma AI","Researcher","Beginner","Retail","Coding",1.52,"Connection issues"
"DALL-E","Data Analyst","Expert","Manufacturing","Coding",1.92,"Wrong output"
"ElevenLabs","Lawyer","Intermediate","Tech","Automation",2.44,"Tool limitation"
"GrammarlyGO","Freelancer","Beginner","Government","Learning",1.18,"Tool limitation"
"Microsoft Copilot","Teacher","Intermediate","Agriculture","Marketing",2.45,"Low accuracy"
"AlphaFold","Product Manager","Advanced","Education","Design",1.19,"Low accuracy"
"Canva AI","Junior Dev","Intermediate","Transportation","Translation",2.42,"Connection issues"
"Power BI Copilot","Student","Beginner","Healthcare","Marketing",2.32,"Wrong output"
"Stable Diffusion","ML Engineer","Intermediate","Retail","Automation",2,"Connection issues"
"Stable Diffusion","Lawyer","Beginner","Legal","Customer Support",1.26,"Wrong output"
"Qwen","Junior Dev","Intermediate","Healthcare","Design",1.66,"Connection issues"
"ElevenLabs","Startup Founder","Beginner","Legal","Design",1.73,"Connection issues"
"LangChain","Junior Dev","Beginner","Transportation","Translation",1.2,"Low accuracy"
"Qwen","Senior Developer","Intermediate","Agriculture","Research",2.56,"Connection issues"
"Falcon","Government Worker","Advanced","Manufacturing","Customer Support",2.44,"Slow response"
"Boston Dynamics AI","DevOps Engineer","Expert","Agriculture","Translation",1.89,"Low accuracy"
"Synthesia","Junior Dev","Intermediate","Legal","Research",1.46,"Wrong output"
"Canva AI","Lawyer","Expert","Retail","Data Analysis",2.39,"Wrong output"
"DALL-E","Non-Tech User","Intermediate","Transportation","Learning",1.57,"Tool limitation"
"Cursor AI","Startup Founder","Advanced","Agriculture","Video Creation",1.62,"Slow response"
"Falcon","Lawyer","Expert","Manufacturing","Automation",1.35,"Wrong output"
"Qwen","Business Owner","Expert","Finance","Marketing",1.95,"Low accuracy"
"AutoGPT","Freelancer","Intermediate","Finance","Design",1.74,"Tool limitation"
"TensorFlow","Business Owner","Expert","Tech","Translation",1.26,"Low accuracy"
"PyTorch","Doctor","Intermediate","Government","Automation",1.19,"Slow response"
"Jasper","ML Engineer","Expert","Healthcare","Learning",2.06,"Tool limitation"
"Tesla Optimus","Government Worker","Expert","Media","Data Analysis",1.25,"Slow response"
"PyTorch","Non-Tech User","Intermediate","Legal","Research",1.48,"Tool limitation"
"Tesla Optimus","Lawyer","Intermediate","Energy","Customer Support",1.55,"Low accuracy"
"LangChain","DevOps Engineer","Advanced","Media","Coding",2.06,"Low accuracy"
"GPT-4","DevOps Engineer","Expert","Education","Research",2.43,"Slow response"
"IBM Watson","Content Creator","Advanced","Tech","Customer Support",1.53,"Wrong output"
"LLaMA","Government Worker","Advanced","Government","Design",1.35,"Low accuracy"
"Devin","Student","Expert","Healthcare","Video Creation",1.98,"Connection issues"
"GitHub Copilot","DevOps Engineer","Beginner","Retail","Video Creation",1.66,"Wrong output"
"DALL-E","Teacher","Intermediate","Energy","Learning",1.2,"Slow response"
"LangChain","Government Worker","Expert","Retail","Data Analysis",1.15,"Connection issues"
"Canva AI","DevOps Engineer","Advanced","Agriculture","Marketing",1.51,"Low accuracy"
"PyTorch","ML Engineer","Advanced","Energy","Learning",1.57,"Wrong output"
"AutoGPT","Senior Developer","Advanced","Retail","Research",2.14,"Connection issues"
"Tabnine","DevOps Engineer","Expert","Healthcare","Data Analysis",1.61,"Low accuracy"
"GPT-4","Researcher","Intermediate","Retail","Video Creation",2.04,"Tool limitation"
"Perplexity AI","ML Engineer","Intermediate","Education","Coding",1.35,"Connection issues"
"TensorFlow","Startup Founder","Intermediate","Government","Data Analysis",2.14,"Tool limitation"
"Mistral","Designer","Beginner","Healthcare","Data Analysis",1.68,"Tool limitation"
"GPT-4","Teacher","Beginner","Retail","Content Writing",1.96,"Connection issues"
"GPT-5","Government Worker","Advanced","Legal","Design",1.39,"Connection issues"
"Perplexity AI","Student","Beginner","Legal","Marketing",1.94,"Slow response"
"GitHub Copilot","ML Engineer","Beginner","Government","Video Creation",2,"Slow response"
"Microsoft Copilot","Teacher","Beginner","Transportation","Video Creation",1.82,"Wrong output"
"HeyGen","Startup Founder","Expert","Transportation","Automation",1.04,"Connection issues"
"Deepgram","Student","Advanced","Retail","Learning",1.4,"Low accuracy"
"AutoGPT","Doctor","Intermediate","Legal","Coding",1.86,"Wrong output"
"Runway ML","Designer","Intermediate","Energy","Translation",2.54,"Slow response"
"Mistral","Data Analyst","Intermediate","Energy","Research",2.27,"Tool limitation"
"Gemini","Student","Advanced","Healthcare","Design",1.37,"Low accuracy"
"PyTorch","Designer","Intermediate","Finance","Automation",1.31,"Low accuracy"
"Qwen","Product Manager","Beginner","Agriculture","Coding",2.33,"Slow response"
"Microsoft Copilot","Government Worker","Beginner","Education","Research",1.18,"Low accuracy"
"LLaMA","Designer","Intermediate","Transportation","Data Analysis",1.46,"Tool limitation"
"Cursor AI","Data Analyst","Expert","Agriculture","Marketing",2.57,"Low accuracy"
"Copy.ai","Product Manager","Beginner","Healthcare","Design",2.51,"Low accuracy"
"Boston Dynamics AI","Lawyer","Intermediate","Media","Marketing",2.21,"Tool limitation"
"Tabnine","Product Manager","Intermediate","Government","Coding",2.1,"Slow response"
"Canva AI","Lawyer","Intermediate","Transportation","Video Creation",1.07,"Low accuracy"
"Tabnine","Teacher","Expert","Education","Learning",1.11,"Connection issues"
"Microsoft Copilot","Teacher","Advanced","Energy","Video Creation",1.16,"Tool limitation"
"BloombergGPT","Student","Intermediate","Agriculture","Coding",2.12,"Low accuracy"
"Whisper","Researcher","Advanced","Legal","Research",1.03,"Connection issues"
"GPT-5","Startup Founder","Intermediate","Government","Research",1.85,"Low accuracy"
"LangChain","Freelancer","Intermediate","Energy","Coding",2.11,"Tool limitation"
"Falcon","Senior Developer","Intermediate","Healthcare","Design",1.06,"Wrong output"
"BloombergGPT","Marketer","Intermediate","Manufacturing","Learning",1.37,"Slow response"
"LangChain","Junior Dev","Intermediate","Education","Data Analysis",1.4,"Wrong output"
"Codeium","Senior Developer","Beginner","Education","Translation",1.07,"Connection issues"
"Cohere","Designer","Beginner","Media","Learning",2.35,"Low accuracy"
"LangChain","Cybersecurity Analyst","Intermediate","Energy","Video Creation",2.55,"Low accuracy"
"Mistral","Student","Advanced","Finance","Design",1.65,"Low accuracy"
"Tableau AI","Designer","Beginner","Education","Design",1.32,"Slow response"
"Codeium","Content Creator","Expert","Education","Automation",1.98,"Low accuracy"
"Tableau AI","ML Engineer","Intermediate","Media","Learning",1.3,"Low accuracy"
"AutoGPT","Non-Tech User","Beginner","Healthcare","Coding",2.09,"Low accuracy"
"Gemini","DevOps Engineer","Beginner","Finance","Design",1.26,"Wrong output"
"Codeium","Product Manager","Expert","Healthcare","Translation",2.54,"Connection issues"
"Mistral","Cybersecurity Analyst","Expert","Government","Video Creation",2.29,"Low accuracy"
"Tableau AI","Data Analyst","Expert","Education","Data Analysis",1.39,"Wrong output"
"Claude","Cybersecurity Analyst","Intermediate","Education","Marketing",2.13,"Slow response"
"LangChain","Teacher","Intermediate","Agriculture","Video Creation",1.62,"Slow response"
"Devin","Government Worker","Beginner","Media","Marketing",2.11,"Low accuracy"
"DALL-E","Senior Developer","Expert","Government","Automation",2.35,"Slow response"
"AutoGPT","Business Owner","Beginner","Government","Automation",1.54,"Tool limitation"
"Figma AI","Marketer","Expert","Agriculture","Data Analysis",1.23,"Slow response"
"Cursor AI","Lawyer","Beginner","Media","Learning",2.18,"Tool limitation"
"BloombergGPT","Lawyer","Advanced","Retail","Data Analysis",1.54,"Low accuracy"
"Codeium","Startup Founder","Advanced","Finance","Coding",1.15,"Connection issues"
"GrammarlyGO","Lawyer","Intermediate","Education","Customer Support",1.41,"Connection issues"
"Falcon","Student","Intermediate","Finance","Design",1.97,"Connection issues"
"Falcon","Senior Developer","Expert","Energy","Data Analysis",1.22,"Low accuracy"
"LangChain","Researcher","Advanced","Transportation","Data Analysis",1.77,"Wrong output"
"ElevenLabs","Marketer","Intermediate","Education","Customer Support",1.79,"Slow response"
"AutoGPT","Student","Expert","Legal","Video Creation",1.32,"Tool limitation"
"Cursor AI","DevOps Engineer","Expert","Government","Video Creation",2.19,"Low accuracy"
"Midjourney","Content Creator","Advanced","Media","Coding",2.38,"Connection issues"
"Notion AI","Content Creator","Intermediate","Legal","Translation",1.91,"Low accuracy"
"IBM Watson","Student","Beginner","Media","Customer Support",1.81,"Slow response"
"GPT-5","Lawyer","Intermediate","Agriculture","Research",1.14,"Connection issues"
"GPT-5","Product Manager","Advanced","Healthcare","Learning",1.48,"Slow response"
"Kensho","Student","Advanced","Finance","Data Analysis",1.54,"Low accuracy"
"BloombergGPT","Government Worker","Expert","Energy","Automation",1.38,"Connection issues"
"BloombergGPT","Freelancer","Intermediate","Government","Translation",1.92,"Tool limitation"
"GrammarlyGO","DevOps Engineer","Expert","Energy","Learning",1.4,"Wrong output"
"Synthesia","Student","Intermediate","Retail","Learning",1.28,"Low accuracy"
"LLaMA","Cybersecurity Analyst","Intermediate","Transportation","Design",1.7,"Low accuracy"
"IBM Watson","Data Analyst","Beginner","Legal","Automation",2.47,"Wrong output"
"DeepSeek","Lawyer","Beginner","Government","Customer Support",2.03,"Low accuracy"
"Cursor AI","Cybersecurity Analyst","Intermediate","Manufacturing","Translation",1.37,"Connection issues"
"LLaMA","DevOps Engineer","Intermediate","Agriculture","Marketing",1.83,"Connection issues"
"GitHub Copilot","Data Analyst","Intermediate","Tech","Video Creation",1.33,"Slow response"
"ElevenLabs","Junior Dev","Expert","Government","Translation",1.27,"Wrong output"
"IBM Watson","Designer","Advanced","Energy","Translation",1.89,"Connection issues"
"Jasper","Lawyer","Beginner","Transportation","Research",1.54,"Tool limitation"
"AutoGPT","Researcher","Intermediate","Media","Data Analysis",2.11,"Slow response"
"Synthesia","Data Analyst","Intermediate","Energy","Research",1.57,"Slow response"
"Whisper","Researcher","Expert","Government","Translation",2.09,"Slow response"
"Khanmigo","Doctor","Advanced","Agriculture","Design",1.61,"Slow response"
"TensorFlow","Data Analyst","Advanced","Energy","Video Creation",2.05,"Connection issues"
"BloombergGPT","Teacher","Intermediate","Media","Automation",1.68,"Wrong output"
"Mistral","Teacher","Intermediate","Manufacturing","Customer Support",1.79,"Wrong output"
"Devin","Data Analyst","Advanced","Education","Design",2.53,"Slow response"
"Cursor AI","Freelancer","Beginner","Manufacturing","Data Analysis",1.93,"Connection issues"
"LLaMA","Designer","Advanced","Agriculture","Research",1.11,"Slow response"
"AlphaFold","Doctor","Intermediate","Legal","Data Analysis",1.75,"Slow response"
"Microsoft Copilot","Designer","Intermediate","Legal","Data Analysis",1.25,"Wrong output"
"Synthesia","Product Manager","Intermediate","Manufacturing","Content Writing",2.46,"Connection issues"
"Synthesia","DevOps Engineer","Intermediate","Tech","Learning",1.48,"Slow response"
"GitHub Copilot","Lawyer","Expert","Finance","Marketing",1.76,"Low accuracy"
"Jasper","Student","Advanced","Education","Data Analysis",2.51,"Wrong output"
"Claude","Business Owner","Expert","Education","Coding",2.56,"Connection issues"
"Tesla Optimus","Doctor","Beginner","Education","Automation",1.28,"Slow response"
"LangChain","Marketer","Advanced","Agriculture","Customer Support",2.16,"Slow response"
"Khanmigo","Teacher","Beginner","Media","Coding",1.52,"Tool limitation"
"Jasper","Government Worker","Expert","Legal","Video Creation",1.33,"Slow response"
"LLaMA","Junior Dev","Expert","Transportation","Automation",2.08,"Low accuracy"
"Qwen","Doctor","Expert","Legal","Research",1.71,"Wrong output"
"Grok","Teacher","Advanced","Tech","Video Creation",1.92,"Low accuracy"
"Tesla Optimus","Business Owner","Expert","Legal","Data Analysis",1.12,"Connection issues"
"GPT-5","Designer","Beginner","Finance","Research",2.5,"Wrong output"
"Tesla Optimus","Designer","Intermediate","Education","Data Analysis",1.13,"Slow response"
"BloombergGPT","ML Engineer","Intermediate","Tech","Coding",2.08,"Wrong output"
"Whisper","Lawyer","Advanced","Legal","Design",1.64,"Tool limitation"
"Codeium","Business Owner","Beginner","Energy","Video Creation",2.42,"Slow response"
"Khanmigo","Product Manager","Expert","Energy","Coding",2.08,"Wrong output"
"Figma AI","Non-Tech User","Beginner","Transportation","Design",1.05,"Tool limitation"
"Perplexity AI","Government Worker","Expert","Finance","Data Analysis",1.3,"Tool limitation"
"TensorFlow","Data Analyst","Intermediate","Energy","Learning",2.47,"Slow response"
"DataRobot","Startup Founder","Expert","Finance","Marketing",2.45,"Low accuracy"
"IBM Watson","Business Owner","Beginner","Agriculture","Data Analysis",2.1,"Wrong output"
"Khanmigo","Startup Founder","Expert","Retail","Design",1.02,"Slow response"
"Mistral","Government Worker","Beginner","Education","Content Writing",1.61,"Tool limitation"
"GitHub Copilot","Product Manager","Expert","Media","Coding",2.19,"Slow response"
"ElevenLabs","Teacher","Expert","Manufacturing","Video Creation",1.8,"Slow response"
"Tesla Optimus","Content Creator","Advanced","Finance","Video Creation",1.1,"Connection issues"
"Duolingo Max","Business Owner","Beginner","Tech","Content Writing",2.13,"Wrong output"
"Copy.ai","Government Worker","Beginner","Legal","Learning",2.03,"Tool limitation"
"DataRobot","Business Owner","Expert","Media","Coding",1.44,"Tool limitation"
"Duolingo Max","Product Manager","Beginner","Transportation","Coding",1.26,"Tool limitation"
"Stable Diffusion","Cybersecurity Analyst","Beginner","Manufacturing","Content Writing",1.35,"Low accuracy"
"Codeium","Non-Tech User","Intermediate","Transportation","Content Writing",1.91,"Connection issues"
"DataRobot","Cybersecurity Analyst","Expert","Finance","Customer Support",1.94,"Connection issues"
"Deepgram","ML Engineer","Beginner","Education","Content Writing",2.21,"Slow response"
"Midjourney","Product Manager","Beginner","Retail","Automation",2.02,"Connection issues"
"Jasper","Doctor","Advanced","Media","Design",2.33,"Low accuracy"
"GrammarlyGO","Teacher","Beginner","Education","Data Analysis",2.1,"Slow response"
"Cursor AI","Government Worker","Expert","Education","Automation",1.89,"Wrong output"
"Duolingo Max","Data Analyst","Expert","Legal","Design",2.24,"Wrong output"
"GPT-5","Junior Dev","Expert","Government","Customer Support",2.59,"Tool limitation"
